param_type	value	species	
Exon_number	1	peu.filtered.gff	
Exon_number	12	peu.filtered.gff	
Exon_number	2	peu.filtered.gff	
Exon_number	8	peu.filtered.gff	
Exon_number	7	peu.filtered.gff	
Exon_number	5	peu.filtered.gff	
Exon_number	2	peu.filtered.gff	
Exon_number	1	peu.filtered.gff	
Exon_number	11	peu.filtered.gff	
Exon_number	2	peu.filtered.gff	
Exon_number	3	peu.filtered.gff	
Exon_number	7	peu.filtered.gff	
Exon_number	1	peu.filtered.gff	
Exon_number	6	peu.filtered.gff	
Exon_number	6	peu.filtered.gff	
Exon_number	2	peu.filtered.gff	
Exon_number	4	peu.filtered.gff	
Exon_number	7	peu.filtered.gff	
Exon_number	9	peu.filtered.gff	
Exon_number	17	peu.filtered.gff	
Exon_number	1	peu.filtered.gff	
Exon_number	1	peu.filtered.gff	
Exon_number	8	peu.filtered.gff	
Exon_number	11	peu.filtered.gff	
Exon_number	1	peu.filtered.gff	
Exon_number	4	peu.filtered.gff	
Exon_number	8	peu.filtered.gff	
Exon_number	4	peu.filtered.gff	
Exon_number	8	peu.filtered.gff	
Exon_number	5	peu.filtered.gff	
Exon_number	17	peu.filtered.gff	
Exon_number	7	peu.filtered.gff	
Exon_number	4	peu.filtered.gff	
Exon_number	9	peu.filtered.gff	
Exon_number	7	peu.filtered.gff	
Exon_number	7	peu.filtered.gff	
Exon_number	14	peu.filtered.gff	
Exon_number	1	peu.filtered.gff	
Exon_number	3	peu.filtered.gff	
Exon_number	13	peu.filtered.gff	
Exon_number	1	peu.filtered.gff	
Exon_number	1	peu.filtered.gff	
Exon_number	6	peu.filtered.gff	
Exon_number	20	peu.filtered.gff	
Exon_number	4	peu.filtered.gff	
Exon_number	1	peu.filtered.gff	
Exon_number	4	peu.filtered.gff	
Exon_number	5	peu.filtered.gff	
Exon_number	1	peu.filtered.gff	
Exon_number	4	peu.filtered.gff	
Exon_number	5	peu.filtered.gff	
Exon_number	4	peu.filtered.gff	
Exon_number	4	peu.filtered.gff	
Exon_number	1	peu.filtered.gff	
Exon_number	17	peu.filtered.gff	
Exon_number	6	peu.filtered.gff	
Exon_number	15	peu.filtered.gff	
Exon_number	6	peu.filtered.gff	
Exon_number	4	peu.filtered.gff	
